Sales Order;Delivery Note;Invoice;Posting Date;Due Date;Customer;Qty;UOM;Territory;Sales;Sales Term;Grand Total
6330;6330;6330;2012-04-19;2012-04-18;Karya jaya Johor;500;Sak 40kg;Medan;9;COD;19500000
SO/2013/00183;DN/2013/00185;INV/2013/00181;2013-03-27;2013-03-26;Sejahterah Perdagangan 1;500;Sak 40kg;Serkibata;8;DO Terms;19250000
SO/2013/00196-1;DN/2013/00199;INV/2013/00195;2013-03-28;2013-03-27;Sejahterah Perdagangan 1;625;Sak 40kg;Serkibata;8;DO Terms;24062500
SO/2013/00227;DN/2013/00229;INV/2013/00225;2013-04-01;2013-03-31;US Siantar 1;500;Sak 40kg;Sibatopasa;8;DO Terms;20000000
SO/2013/00266;DN/2013/00277;INV/2013/00274;2013-04-04;2013-04-03;US Siantar 1;500;Sak 40kg;Sibatopasa;8;DO Terms;20000000
SO/2013/00305;DN/2013/00312;INV/2013/00309;2013-04-06;2013-04-05;Hartono Perdagangan 1;500;Sak 40kg;Serkibata;8;DO Terms;19250000
SO/2013/00496;DN/2013/00497;INV/2013/00493;2013-04-23;2013-04-22;Kencana Agung Johor 1;500;Sak 40kg;Medan;9;DO Terms;19900000
SO/2013/00502;DN/2013/00507;INV/2013/00502;2013-04-23;2013-04-22;Desa Maju Polonia 1;500;Sak 40kg;Medan;9;S Terms CBD;20250000
SO/2013/00509;DN/2013/00510;INV/2013/00506;2013-04-24;2013-05-08;Bahagia Jaya By pass 1;500;Sak 40kg;Medan;9;S Terms TOP 14 Day;20250000
SO/2013/00524-1;DN/2013/00575;INV/2013/00522-1;2013-04-25;2013-05-09;Tunas Family T. Balai 1;500;Sak 40kg;Serkibata;8;S Terms TOP 14 Day;20250000
SO/2013/00528;DN/2013/00532;INV/2013/00528;2013-04-25;2013-04-24;Tetap Jaya Tebing 1;500;Sak 40kg;Serkibata;8;DO Terms;20000000
SO/2013/00576;DN/2013/00582;INV/2013/00577;2013-04-29;2013-04-28;Desa Maju Polonia 1;500;Sak 40kg;Medan;9;S Terms CBD;20250000
